# French MFA dictionary v3.0.0 (McAuliffe and Sonderegger 2024), CC BY 4.0
# word	class	ipa	dictionary_phones	dictionary_probability
peu	adverb	pø	p ø	0.99
plaît	discourse	plɛ	p l ɛ	0.99
plus	negation	ply	p l y	0.99
plusieurs	determiner	plyzjœʁ	p l y z j œ ʁ	0.99
pour	preposition	puʁ	p u ʁ	0.99
presque	adverb	pʁɛsk	p ʁ ɛ s k	0.99
près	preposition	pʁɛ	p ʁ ɛ	0.99
puis	adverb	pɥi	p ɥ i	0.99
puisque	conjunction	pɥisk	p ɥ i s k	0.99
quand	conjunction	kɑ̃	k ɑ̃	0.99
quatre	number	katʁə	k a t ʁ ə	0.99
que	conjunction	kə	k ə	0.99
quel	pronoun	kɛl	c ɛ l	0.99
quelle	pronoun	kɛl	c ɛ l	0.99
quelque	determiner	kɛlkə	c ɛ l k ə	0.99
quelques	determiner	kɛlk	c ɛ l k	0.99
qui	pronoun	ki	c i	0.99
quoi	pronoun	kwa	k w a	0.99
revoir	discourse	ʁəvwaʁ	ʁ ə v w a ʁ	0.99
rien	negation	ʁjɛ̃	ʁ j ɛ̃	0.99
sa	determiner	sa	s a	0.99
salut	discourse	saly	s a l y	0.99
sans	preposition	sɑ̃	s ɑ̃	0.99
se	pronoun	sə	s ə	0.99
selon	preposition	səlɔ̃	s ə l ɔ̃	0.99
sept	number	sɛt	s ɛ t	0.99
ses	determiner	se	s e	0.99
seulement	adverb	sœlmɑ̃	s œ l m ɑ̃	0.99
si	conjunction	si	s i	0.99
six	number	si	s i	0.99
soi	pronoun	swa	s w a	0.99
sommes	auxiliary	sɔm	s ɔ m	0.99
son	determiner	sɔ̃	s ɔ̃	0.99
sont	auxiliary	sɔ̃	s ɔ̃	0.99
sous	preposition	su	s u	0.99
souvent	adverb	suvɑ̃	s u v ɑ̃	0.99
suis	auxiliary	sɥi	s ɥ i	0.99
sur	preposition	syʁ	s y ʁ	0.99
sûr	discourse	syʁ	s y ʁ	0.99
ta	determiner	ta	t a	0.99
tard	adverb	taʁ	t a ʁ	0.99
te	pronoun	tə	t ə	0.99
tes	determiner	te	t e	0.99
toi	pronoun	twa	t w a	0.99
ton	determiner	tɔ̃	t ɔ̃	0.99
toujours	adverb	tuʒuʁ	t u ʒ u ʁ	0.99
tous	determiner	tu	t u	0.99
tout	determiner	tu	t u	0.99
toute	determiner	tut	t u t	0.99
toutes	determiner	tut	t u t	0.99
trois	number	tʁwɑ	t ʁ w ɑ	0.99
trop	adverb	tʁo	t ʁ o	0.99
très	adverb	tʁɛ	t ʁ ɛ	0.99
tu	pronoun	ty	t y	0.99
tôt	adverb	to	t o	0.99
un	article	ɛ̃	ɛ̃	0.99
une	article	yn	y n	0.99
vers	preposition	vɛʁ	v ɛ ʁ	0.99
vingt	number	vɛ̃	v ɛ̃	0.99
vite	adverb	vit	v i t	0.99
voilà	discourse	vwala	v w a l a	0.99
vos	determiner	vo	v o	0.99
votre	determiner	vɔtʁə	v ɔ t ʁ ə	0.99
vous	pronoun	vu	v u	0.99
vraiment	adverb	vʁɛmɑ̃	v ʁ ɛ m ɑ̃	0.99
y	pronoun	i	i	0.99
zéro	number	zeʁo	z e ʁ o	0.99
à	preposition	a	a	0.99
ça	pronoun	sa	s a	0.99
était	auxiliary	etɛ	e t ɛ	0.99
êtes	auxiliary	ɛt	ɛ t	0.99
